;period;start;end;n;missing;start;end;n;log;adjust;lp;;;ntd;nmh;td-derived;;;td-ftest;easter;;;nout;noutao;noutls;nouttc;noutso;td(1);;;td(2);;;td(3);;;td(4);;;td(5);;;td(6);;;out(1);;;out(2);;;out(3);;;out(4);;;out(5);;;out(6);;;out(7);;;out(8);;;out(9);;;out(10);;;out(11);;;out(12);;;out(13);;;out(14);;;out(15);;;out(16);;;out(17);;;out(18);;;out(19);;;out(20);;;out(21);;;out(22);;;out(23);;;out(24);;;out(25);;;out(26);;;;neffectiveobs;np;logvalue;adjustedlogvalue;ssqerr;aic;aicc;bic;bicc;ser;ser-ml;mean;skewness;;;kurtosis;;;dh;lb;lb2;;;seaslb;bp;bp2;seasbp;nudruns;ludruns;nruns;lruns;arima;mean;p;d;q;bp;bd;bq;phi(1);phi(2);phi(3);bphi(1);th(1);th(2);bth(1);seasonality;parameters_cutoff;model_changed;tvar-estimator;tvar-estimate;tvar-pvalue;savar-estimator;savar-estimate;savar-pvalue;svar-estimator;svar-estimate;svar-pvalue;ivar-estimator;ivar-estimate;ivar-pvalue;tscorr-estimator;tscorr-estimate;tscorr-pvalue;ticorr-estimator;ticorr-estimate;ticorr-pvalue;sicorr-estimator;sicorr-estimate;sicorr-pvalue;;;method;cycle;seasonality;irregular;tdh;others;total;logstat;levelstat;fcast-insample-mean;fcast-outsample-mean;fcast-outsample-variance;seas-lin-f;seas-lin-qs;seas-lin-kw;seas-lin-friedman;seas-lin-periodogram;seas-lin-spectralpeaks;seas-si-combined;seas-si-evolutive;seas-si-stable;seas-res-f;seas-res-qs;seas-res-kw;seas-res-friedman;seas-res-periodogram;seas-res-spectralpeaks;seas-res-combined;seas-res-combined3;seas-res-evolutive;seas-res-stable;seas-i-f;seas-i-qs;seas-i-kw;seas-i-periodogram;seas-i-spectralpeaks;seas-i-combined;seas-i-combined3;seas-i-evolutive;seas-i-stable;seas-sa-f;seas-sa-qs;seas-sa-kw;seas-sa-friedman;seas-sa-periodogram;seas-sa-spectralpeaks;seas-sa-combined;seas-sa-combined3;seas-sa-evolutive;seas-sa-stable;seas-sa-ac1;td-sa-all;td-sa-last;td-i-all;td-i-last;td-res-all;td-res-last;ic-ratio-henderson;ic-ratio;msr-global;msr(1);msr(2);msr(3);msr(4);msr(5);msr(6);msr(7);msr(8);msr(9);msr(10);msr(11);msr(12);trendfilter;seasfilter;m1;m2;m3;m4;m5;m6;m7;m8;m9;m10;m11;q;q-m2;definition;;annual totals;;spectral seas peaks;spectral td peaks;normality;;independence;;spectral td peaks;;spectral seas peaks;;number of outliers;;mean;;mse;;q;;q-m2;;seas variance;;irregular variance;;seas/irr cross-correlation;;qs test on sa;;qs test on i;;f-test on sa (seasonal dummies);;f-test on i (seasonal dummies);;combined seasonality test on sa;;combined seasonality test on sa (last 3 years);;combined seasonality test on irregular;;f-test on sa (td);;f-test on i (td);;quality
RF1721;12;2012-01-31;2021-09-30;117;0;2012-01-31;2021-09-30;117;1;1;;;;6;0;td-derived;-0,029128;-5,7281;0;;;;1;0;0;1;0;Monday;0,011062;2,1702;Tuesday;0,013932;2,7322;Wednesday;0,010596;2,0935;Thursday;0,006043;1,1652;Friday;0,009309;1,7714;Saturday;-0,021813;-4,36;TC (4-2020);-0,130492;-6,2625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;104;11;237,038640861;-242,05878456;0,051080945;506,11756912;508,987134338;535,205869011;-7,172158596;0,023311249;0,022162196;0,101244;Normal with Mean = 0.0 and Stdev = 0.2401922307076307;0,310571;0,196;Normal with Mean = 3.0 and Stdev = 0.4803844614152614;3,437823;0,3621;2,773412;21,290384;Chi2 with 22 degrees of freedom ;17,35337;0,7436;0,515459;18,279635;15,019276;0,44738;-0,234619;4,110588;-0,558995;4,746235;(0,1,1)(0,1,1);1;0;1;1;0;1;1;;;;;-0,692809;;-0,951086;1;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,046935497;0,766978987;0,037431923;0,119855587;0,043212764;1,014414758;;;0,643031728;0,023832568;0,432314679;0;0;0;0;0;a-.AT.AT.AT.AT.AT;Present;0,15028936;0;0,465705711;0,772804085;0,491467082;0,373846489;0,397055465;--.--.--.--.a-.-t;None;None;0,734030749;0,446674716;0,653765742;1;0,998499408;0,562616983;--.--.--.--.--.--;None;None;0,454388793;0,636734605;0,788431225;1;0,996413463;0,840232523;0,597825717;--.--.--.--.--.--;None;None;0,97330944;0,882955541;-0,343222249;0,933825932;0,968107167;0,999802442;0,998909602;0,999898178;0,998911619;4,706442064;4,974650323;5,033427203;4,389176816;16,154093235;5,503155499;1,66953601;2,609924797;3,820269621;6,866447731;7,257038998;6,150620041;4,467423157;5,925598697;7,524946428;13 terms Henderson moving average;3x5;0,212124479;0,137983604;0,962811487;0,743183847;1,088125246;0,413370881;0,191804593;0,262945405;0,174238301;0,304589408;0,273520202;0,441409437;0,478911506;Good;0;Good;0,004;Good;Good;Good;0,25;Good;0,503;Good;0,101;Good;0,265;Good;0,009;Uncertain;0,024;Good;0,432;Good;0,441;Good;0,479;;;;;;;Good;1;Good;1;Good;0,735;Good;0,586;Good;0,876;Good;0,97;Good;0,857;Good;0,968;Good;0,999;Good
RF1722;12;2012-01-31;2021-09-30;117;0;2012-01-31;2021-09-30;117;1;1;;;;6;0;td-derived;-0,020044;-2,7643;0;;;;1;1;0;0;0;Monday;0,015654;2,1826;Tuesday;0,007336;1,0129;Wednesday;0,013216;1,844;Thursday;-0,00246;-0,3335;Friday;0,016326;2,1682;Saturday;-0,030029;-4,1663;AO (3-2020);0,224403;6,6783;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;105;10;202,410569904;-280,589201851;0,100233608;581,178403702;583,518829234;607,718007204;-6,555301203;0,032312538;0,030896695;-1,915317;Normal with Mean = 0.0 and Stdev = 0.23904572186687872;0,014294;0,9523;Normal with Mean = 3.0 and Stdev = 0.47809144373375745;3,472615;0,3229;2,507238;17,299727;Chi2 with 22 degrees of freedom ;16,172532;0,8072;0;15,387264;13,933242;0;0,311305;38,20818;-0,482305;6,375605;(1,0,0)(0,1,1);0;1;0;0;0;1;1;-0,326713;;;;;;-0,999678;1;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,10061805;0,315272618;0,158063311;0,203427099;0,141779953;0,919161031;;;0,069407547;0,27344902;0,022805814;0;0;0,00000003;0;0;--.--.--.at.aT.At;Present;0,233857188;0;0,952728433;1;0,922710857;0,753953505;0,936146545;A-.--.--.--.--.--;None;None;0,126025997;0,948811278;0,986196936;1;0,998690416;0,983507918;--.--.--.--.--.--;None;None;0,034551592;0,985102877;0,991150752;1;0,999717382;0,99435971;0,990141503;--.--.--.--.--.--;None;None;0,219267026;0,987186284;-0,464780098;0,997783114;0,993137591;0,992560846;0,985991768;0,998517996;0,998154946;4,778841023;5,559518181;4,984724685;5,475806373;6,358115439;9,515195231;5,635221876;5,524984068;7,412355799;3,893496873;5,314361828;3,25536367;3,451703247;5,534514262;3,344848075;13 terms Henderson moving average;3x5;1,401602718;0,727834341;0,989229763;0,057167988;3;0,393889874;0,602686294;0,818473228;0,527135697;0,93793311;0,861410265;0,967757345;0,99741075;Good;0;Good;0,004;Good;Good;Good;0,285;Good;0,747;Good;0,295;Good;0,388;Good;0,009;Good;0,273;Uncertain;0,023;Good;0,968;Good;0,997;;;;;;;Good;1;Good;1;Good;0,997;Good;0,985;Good;0,88;Good;0,649;Good;0,862;Good;0,993;Good;0,986;Good
RF1723;12;2012-01-31;2021-09-30;117;0;2012-01-31;2021-09-30;117;1;1;;;;6;0;td-derived;-0,040812;-3,7757;0;;;;1;1;0;0;0;Monday;0,00498;0,4444;Tuesday;0,03023;2,5562;Wednesday;0,004617;0,3791;Thursday;0,012264;1,0229;Friday;0,008331;0,7111;Saturday;-0,019611;-1,8214;AO (4-2020);-0,278891;-4,8025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;105;12;133,24128789;-338,808266866;0,470032172;701,616533732;705,00783808;733,464057934;-4,921356735;0,070713098;0,066906628;0,386029;Normal with Mean = 0.0 and Stdev = 0.23904572186687872;-0,103951;0,6637;Normal with Mean = 3.0 and Stdev = 0.47809144373375745;3,369852;0,4392;1,919588;16,085093;Chi2 with 21 degrees of freedom ;27,065341;0,1687;0,515638;13,948174;23,063744;0,432847;0,077826;0,327144;0,060711;7,761488;(2,0,0)(1,1,0);1;2;0;0;1;1;0;-0,501164;-0,193395;;0,466493;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,079032392;0,687168849;0,058005259;0,050851931;0,027156866;0,902215298;;;0,738673991;0,827841464;0,194867367;0;0;0,001231253;0;0;A-.AT.AT.AT.AT.At;Present;0,000172109;0;0,24435584;0,772735167;0,295743843;0,568795733;0,484050566;A-.--.--.--.A-.--;None;None;0,163224031;0,253633739;0,55634692;1;0,994716606;0,685063392;A-.--.--.--.--.--;None;None;0,366883674;0,548791105;0,579739725;1;0,999857844;0,991170018;0,615993822;a-.--.--.--.--.--;None;None;0,192681474;0,751147791;-0,31906499;0,924913076;0,971085302;0,904864362;0,960685877;0,970674773;0,979889614;2,732169877;3,38778225;2,084348295;2,152182487;2,932498028;2,368758569;4,422448666;0,995244703;1,260216951;0,764633299;2,144065147;5,838690627;5,011200826;1,930114249;6,860069589;13 terms Henderson moving average;3x3;0,263591234;0,161698649;0,369100458;0,057167988;0,653014573;0,766260682;0,670561168;1,10305018;0,883958183;1,683980194;1,635546941;0,611148604;0,673730244;Good;0;Good;0,007;Bad;Good;Good;0,383;Good;0,765;Good;0,629;Good;0,189;Good;0,009;Good;0,828;Good;0,195;Good;0,611;Good;0,674;;;;;;;Good;1;Good;1;Good;0,936;Good;0,897;Good;0,418;Good;0,408;Good;0,161;Good;0,971;Good;0,961;Good
RF1724;12;2012-01-31;2021-09-30;117;0;2012-01-31;2021-09-30;117;1;;;;;0;0;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;104;3;30,070626469;-444,637061621;2,587772057;895,274123243;895,514123243;903,20729594;-3,604278394;0,159280615;0,157741636;0,030383;Normal with Mean = 0.0 and Stdev = 0.2401922307076307;-0,039472;0,8695;Normal with Mean = 3.0 and Stdev = 0.4803844614152614;3,356364;0,4582;1,796472;22,881461;Chi2 with 22 degrees of freedom ;14,573542;0,8799;1,147164;19,096567;12,969703;0,995651;0,938474;6,116088;0,989535;13,600475;(0,1,1)(0,1,1);0;0;1;1;0;1;1;;;;;-0,859404;;-0,999929;1;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,046513428;0,880833526;0,127042064;0;0;1,054389019;;;0,973389915;0,9033439;0,20116517;0;0;0,000002934;0,000000051;0;At.AT.AT.AT.AT.AT;Present;0,375290793;0;0,847028218;0,56350346;0,912944082;0,911119827;0,967233669;--.--.--.a-.--.at;None;None;0,143535413;0,837676248;0,958400908;1;0,991813681;0,961298368;--.--.--.--.--.--;None;None;0,479948245;0,957197287;0,988349543;1;0,988542596;0,994670704;0,943885479;--.--.--.--.--.--;None;None;0,000002603;0,98467396;-0,572966224;0,373048244;0,638238513;0,433033626;0,635406622;0,634576984;0,598510806;7,058767869;10,885837871;5,373752965;3,171935063;6,62015894;5,861554041;4,969600285;11,116159972;4,786529725;9,852451935;2,741456648;4,688461598;3,253201812;7,05640208;5,783724627;23-Henderson;3x5;0,671839038;0,546053368;1,6043467;0,285839941;3;0,549501186;0,414440139;0,540428329;0,243002625;0,690105685;0,647066745;0,878428047;0,919508064;Good;0;Uncertain;0,041;Good;Good;Good;0,407;Good;0,408;Good;0,671;Good;0,171;Good;0;Good;0,903;Good;0,201;Good;0,878;Good;0,92;;;;;;;Good;1;Good;1;Good;0,957;Good;0,935;Good;0,985;Good;0,873;Good;0,957;Good;0,638;Good;0,635;Good
RF1729;12;2012-01-31;2021-09-30;117;0;2012-01-31;2021-09-30;117;1;1;;;;6;1;td-derived;-0,030124;-4,2871;0;Easter [8];-0,031892;-2,2549;2;2;0;0;0;Monday;0,010594;1,4696;Tuesday;0,015431;2,1135;Wednesday;0,018563;2,5739;Thursday;0,000589;0,0804;Friday;0,005237;0,7017;Saturday;-0,020291;-2,8448;AO (8-2012);0,249403;6,8937;AO (12-2012);0,225932;6,2234;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;104;12;189,884420865;-292,350042757;0,148017491;608,700085514;612,128656942;640,432776303;-6,063582077;0,039894685;0,037725921;0,929584;Normal with Mean = 0.0 and Stdev = 0.2401922307076307;0,149801;0,5328;Normal with Mean = 3.0 and Stdev = 0.4803844614152614;2,763608;0,6227;0,471527;21,691969;Chi2 with 22 degrees of freedom ;24,316752;0,3308;0,761819;19,288371;20,893174;0;0,234619;1,903947;-1,128556;19,930236;(0,1,1)(0,1,1);0;0;1;1;0;1;1;;;;;-0,543316;;-0,644624;1;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,085960478;0,764700284;0,046665098;0,096485451;0,100806975;1,094618286;;;0,425235798;0,334349197;0,501846933;0;0;0,000000001;0;0;at.At.AT.AT.-T.AT;Present;0,16575835;0;0,121204273;1;0,128870558;0,32590487;0,078027563;a-.a-.--.--.At.--;None;None;0,712436598;0,110480515;0,795824988;1;0,998769902;0,761600948;a-.--.--.--.--.--;None;None;0,069867661;0,784510343;0,921225216;1;0,999840393;0,993869083;0,926339282;--.--.--.--.--.--;None;None;0,041632082;0,947568381;-0,408925736;0,989971382;0,585774413;0,992655179;0,689507987;0,998203886;0,901734881;3,97860444;4,713490349;4,303242141;5,098371819;4,487387008;2,624659901;5,567413558;11,637648365;4,492438457;6,158267974;3,093266591;1,44545131;5,643604247;5,679498069;4,041038522;13 terms Henderson moving average;3x5;0,360894858;0,217824423;0,906002977;0,142919971;0,983254246;0,121296856;0,249352002;0,441330651;0,29569176;0,455040614;0,438466425;0,414586931;0,438905893;Good;0;Good;0,008;Good;Good;Good;0,79;Good;0,478;Good;0,831;Good;0,43;Good;0,017;Good;0,334;Good;0,502;Good;0,415;Good;0,439;;;;;;;Good;1;Good;1;Good;0,84;Good;0,756;Good;0,587;Good;0,97;Good;0,546;Good;0,586;Good;0,69;Good
RF1812;12;2012-01-31;2021-09-30;117;0;2012-01-31;2021-09-30;117;0;;Leap year;1,65805;0,8046;7;1;td-derived;-2,599282;-4,1099;0;Easter [8];-2,84916;-2,2165;2;1;0;1;0;Monday;1,136362;1,7928;Tuesday;0,743479;1,151;Wednesday;1,75479;2,75;Thursday;0,11279;0,1737;Friday;0,194355;0,2918;Saturday;-1,342495;-2,1272;TC (4-2020);-41,418387;-8,8666;AO (3-2020);-24,061679;-6,0321;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;105;13;-287,354024492;-287,354024492;1299,8245349;600,708048985;604,708048985;635,209533537;3,047905394;3,738530179;3,518420283;-1,082887;Normal with Mean = 0.0 and Stdev = 0.23904572186687872;0,114198;0,6328;Normal with Mean = 3.0 and Stdev = 0.47809144373375745;2,844513;0,745;0,260882;16,883633;Chi2 with 22 degrees of freedom ;24,228493;0,3354;0,000968;14,809536;20,385418;0,000841;-0,155653;2,92483;0,491292;14,576881;(1,0,0)(0,1,1);0;1;0;0;0;1;1;-0,702655;;;;;;-0,795716;1;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,108380034;0,481551405;0,044595904;0,069465748;0,392748994;1,096742086;;;0,949764741;0,000006905;0,000106926;0;0;0;0;0;At.AT.AT.At.AT.At;Present;0,500758544;0;0,476384554;0,999516109;0,460133246;0,803736105;0,659690494;A-.-T.--.--.--.--;None;None;0,57000167;0,475896268;0,901225212;1;0,999137003;0,972206425;--.--.--.--.--.--;None;None;0,451562391;0,899082905;0,985214573;1;0,965229774;0,999851611;0,99602275;--.--.--.--.--.--;None;None;0,011768468;0,99774281;-0,334863024;0,998097399;0,964897113;0,960229277;0,983098929;0,993188298;0,99249871;3,975352858;3,597901298;3,895637544;3,670451467;4,392117279;2,934207137;3,808900653;1,86594511;2,293053203;4,605169823;8,878346569;4,737733491;5,367675552;4,683666404;6,003947766;13 terms Henderson moving average;3x5;0,380193215;0,636663745;0,831833694;0,314423935;0,631195578;0,041744982;0,258235051;0,581057906;0,41651989;0,629554723;0,571103435;0,454334711;0,431799661;Good;0;Good;0,003;Good;Good;Good;0,878;Good;0,77;Good;0,605;Good;0,58;Good;0,017;Bad;0;Bad;0;Good;0,454;Good;0,432;;;;;;;Good;1;Good;1;Good;0,986;Good;0,918;Good;0,392;Good;0,307;Good;0,841;Good;0,965;Good;0,983;Good
RF1813;12;2012-01-31;2021-09-30;117;0;2012-01-31;2021-09-30;117;0;;;;;0;0;;;;;;;;1;0;1;0;0;;;;;;;;;;;;;;;;;;;LS (3-2020);-24,257939;-8,4476;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;105;5;-358,307269216;-358,307269216;5451,182909026;726,614538432;727,220599039;739,884340183;4,126921289;7,346571174;7,205277767;0,196746;Normal with Mean = 0.0 and Stdev = 0.23904572186687872;-0,575908;0,016;Normal with Mean = 3.0 and Stdev = 0.47809144373375745;3,251902;0,5983;6,449658;15,097857;Chi2 with 22 degrees of freedom ;10,315731;0,9832;0;12,687696;9,024794;0;-0,155653;0,94481;0,175009;2,720555;(1,0,0)(1,1,0);1;1;0;0;1;1;0;-0,262485;;;0,524183;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,048683277;0,379418966;0,115410608;0;0,436242154;0,979755005;;;0,820160324;0,360597183;0,324017403;0;0;0,000041119;0,000000002;0;a-.AT.At.At.--.At;Present;0,000650808;0;0,907166956;1;0,830469661;0,967019332;0,97752931;--.--.--.--.--.--;None;None;0,390163582;0,900346293;0,997275707;1;0,999988098;0,996706936;--.--.--.--.--.--;None;None;0,865566318;0,997243641;0,998455332;1;0,999959551;0,989547407;0,989657687;--.--.--.--.--.--;None;None;0,283115164;0,995854175;-0,392606404;0,041426179;0,102030485;0,153605755;0,159268836;0,216173923;0,105266119;4,790035722;5,171243207;5,186819475;9,293757519;3,21918485;2,321165541;3,881670253;8,351899203;5,406567932;1,801073299;7,821834249;6,016700521;8,898545622;7,806292542;7,731875953;13 terms Henderson moving average;3x5;1,017043201;1,933497063;0,985937974;0,4859279;3;0,47472779;0,694938938;0,77497186;0,566645041;0,793567592;0,71992452;1,108871682;1,006951691;Good;0;Good;0,001;Bad;Good;Uncertain;0,04;Good;0,858;Uncertain;0,011;Good;0,468;Good;0,009;Good;0,361;Good;0,324;Bad;1,109;Bad;1,007;;;;;;;Good;1;Good;1;Good;0,968;Good;0,98;Good;0,994;Good;0,842;Good;0,997;Good;0,102;Good;0,159;Good
RF1920;12;2012-01-31;2021-09-30;117;0;2012-01-31;2021-09-30;117;0;;Leap year;3,789835;0,9954;7;0;td-derived;-2,092785;-1,7481;0,000786061;;;;0;0;0;0;0;Monday;0,099946;0,0846;Tuesday;1,433866;1,196;Wednesday;0,075623;0,0639;Thursday;-4,815845;-3,9251;Friday;4,986333;4,0009;Saturday;0,312862;0,2651;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;104;9;-367,089726434;-367,089726434;5456,465933157;752,179452868;754,094346485;775,97897096;4,317426533;7,539110478;7,243343053;-0,129807;Normal with Mean = 0.0 and Stdev = 0.2401922307076307;-0,047265;0,844;Normal with Mean = 3.0 and Stdev = 0.4803844614152614;2,718602;0,558;0,077377;26,735133;Chi2 with 23 degrees of freedom ;16,989185;0,8098;0,911787;23,715752;14,586781;0,790117;-0,469237;3,102867;0,015182;2,921972;(0,1,0)(0,1,1);0;0;1;0;0;1;1;;;;;;;-0,999744;1;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,355139891;0,27350474;0,200291721;0,045225851;0;0,874162204;;;0,620805762;0,341793451;0,594391591;0,000000357;0,000004154;0,089916124;0,007188596;0,000011877;At.--.At.At.-t.-t;Present;0,249779994;0,000000001;0,529228515;0,633881219;0,548416387;0,591743674;0,590025874;-T.--.--.--.--.at;None;None;0,817278805;0,517043127;0,991877546;1;0,999763462;0,990565462;--.--.--.--.--.--;None;None;0,612513636;0,992966901;0,984564132;1;0,999999567;0,988532387;0,985641332;--.--.--.--.--.--;None;None;0,182672845;0,995102188;-0,046328901;0,955561692;0,919148935;0,996359067;0,983497919;0,953369038;0,822454305;3,083764502;3,975683308;5,125051761;9,972072573;6,72704943;3,547530955;2,773543646;6,047682084;4,808122435;4,901688011;9,149155771;3,69048413;4,754797077;4,781260802;6,162046703;13 terms Henderson moving average;3x5;3;0,86743375;0,94199569;1,086191777;0,988156862;0,450020704;0,843451232;1,312310237;0,783753725;1,41749438;1,283862206;1,136811911;1,170105841;Good;0;Good;0,01;Good;Good;Good;0,962;Good;0,267;Good;0,76;Good;0,141;Good;0;Good;0,342;Good;0,594;Bad;1,137;Bad;1,17;;;;;;;Good;1;Good;1;Good;0,971;Good;0,956;Good;0,995;Good;0,964;Good;0,993;Good;0,919;Good;0,983;Good
RF2011;12;2012-01-31;2021-09-30;117;0;2012-01-31;2021-09-30;117;0;;;;;0;0;;;;;;;;1;0;0;1;0;;;;;;;;;;;;;;;;;;;TC (4-2020);-23,092832;-5,1005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;105;4;-316,105117615;-316,105117615;1947,186704452;640,21023523;640,61023523;650,826076631;3,05315084;4,369217977;4,306348254;2,132679;Normal with Mean = 0.0 and Stdev = 0.23904572186687872;0,44733;0,0613;Normal with Mean = 3.0 and Stdev = 0.47809144373375745;3,694721;0,1462;4,585655;21,566354;Chi2 with 22 degrees of freedom ;13,589089;0,9154;0;18,396889;11,593878;0;-0,856089;1,88682;-1,057762;7,696737;(1,0,0)(0,1,1);0;1;0;0;0;1;1;-0,567165;;;;;;-0,999173;1;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,19724853;0,256445517;0,205986836;0;0,192581816;0,852262699;;;0,041717057;0,933331793;0,187154025;0;0;0,000131185;0,000000012;0;--.At.--.At.--.At;Present;0,377719258;0;0,538052164;1;0,291813038;0,165557334;0,69348446;--.A-.--.--.a-.--;None;None;0,818918849;0,517302704;0,983522319;1;0,999506713;0,979636538;A-.--.--.--.--.--;None;None;0,772228209;0,982437193;0,99826056;1;0,999983905;0,986595137;0,99905903;--.--.--.--.--.--;None;None;0,734896395;0,989428335;-0,32893105;0,239614521;0,120306084;0,122492652;0,043401378;0,276856686;0,118022594;4,062686612;5,369800868;5,317465562;2,998751866;6,726634788;5,433542045;3,14795028;6,117070214;6,487495746;5,522581677;8,691420955;7,101081042;8,735404083;5,19386307;4,897695625;13 terms Henderson moving average;3x5;2,417800949;2,05582154;0,959426546;0,657431865;1,26386057;0,526986225;0,708579642;0,956438069;0,553533801;0,880605829;0,713837469;1,105201052;0,987708632;Good;0;Good;0,001;Good;Bad;Good;0,101;Good;0,486;Good;0,151;Good;0,581;Good;0,009;Good;0,933;Good;0,187;Bad;1,105;Good;0,988;;;;;;;Good;1;Good;1;Good;1;Good;0,999;Good;0,996;Good;0,972;Good;0,997;Good;0,12;Uncertain;0,043;Good
RF2012;12;2012-01-31;2021-09-30;117;0;2012-01-31;2021-09-30;117;1;;;;;0;0;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;105;4;63,239744711;-412,784863842;1,653074333;833,569727684;833,969727684;844,185569085;-4,018353268;0,127305189;0,125473364;-0,128156;Normal with Mean = 0.0 and Stdev = 0.23904572186687872;0,192951;0,4196;Normal with Mean = 3.0 and Stdev = 0.47809144373375745;2,923899;0,8735;0,738658;14,139428;Chi2 with 22 degrees of freedom ;42,747479;0,0051;0,012443;12,220834;35,392359;0;-0,155653;4,015571;0,491292;9,913598;(0,0,1)(0,1,1);1;0;0;1;0;1;1;;;;;0,414106;;-0,782002;1;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,18806829;0,545699304;0,27720596;0;0;1,010973554;;;0,853813661;0,021420402;0,29775362;0;0;0,003101971;0,000000329;0;-t.--.At.-t.a-.At;Present;0,931033582;0;0,051823196;1;0,072944389;0,087092058;0,164477329;a-.At.A-.--.A-.--;None;None;0,376365734;0,071881943;0,890440946;1;0,998731792;0,934015062;--.--.--.--.--.--;None;None;0,193462057;0,884830515;0,939596974;1;0,998142852;0,940692139;0,874996497;--.--.--.--.--.--;None;None;0,002269506;0,997116447;-0,339017808;0,062018382;0,100879523;0,12969741;0,088614078;0,031076075;0,103688319;5,045898208;4,781224223;5,062427911;9,714730022;8,396127444;5,752476269;7,813713714;3,318050289;5,343173854;3,45367006;5,607932023;7,976284014;1,740582608;10,405073427;5,086102062;13 terms Henderson moving average;3x5;1,577210694;1,138501232;0,922486097;0,314423935;1,506081995;0,424971165;0,600895582;0,93112769;0,501231682;1,078617888;1,000076237;0,900098991;0,870633546;Good;0;Good;0,006;Severe;Bad;Good;0,691;Good;0,896;Uncertain;0,069;Good;0,24;Good;0;Uncertain;0,021;Good;0,298;Good;0,9;Good;0,871;;;;;;;Good;1;Good;1;Good;0,978;Good;0,992;Good;0,997;Good;0,953;Good;0,885;Good;0,101;Good;0,089;Severe
